source_id,ra_gaia,dec_gaia,gal_l,gal_b,parallax,distance_pc,bp_rp,phot_g_mean_mag,absolute_g_mag,teff,logg,feh,rv,tangential_velocity_kms,galcen_vtot_kms,metallicity_group,candidate_score_m6,candidate_level_m6
3084618814470882048,121.207,1.037,220.578,16.759,0.239,4181.041,1.171,15.836,2.73,4737.68,3.709,-0.951,127.33,165.111,125.73,metal_poor,1,weak
3077610566011025408,124.849,0.784,222.635,19.844,0.161,6213.063,1.175,13.773,-0.194,4813.31,2.214,-0.543,93.57,100.316,280.997,metal_poor,1,weak
3083553117121981312,123.113,0.46,222.058,18.164,0.076,13193.564,1.55,13.163,-2.439,4252.85,0.992,-1.116,91.38,237.538,89.489,metal_poor,3,moderate
3083753361380495744,122.456,0.527,221.666,17.619,0.593,1686.42,1.146,12.531,1.396,5006.79,2.897,-0.915,125.61,114.305,135.602,metal_poor,0,weak
3084618646970633984,121.17,1.005,220.59,16.712,0.154,6484.216,1.1,13.638,-0.421,5030.94,2.379,-0.68,98.29,105.884,288.411,metal_poor,1,weak
3084642080312126464,121.316,1.293,220.395,16.976,0.092,10864.905,1.507,13.147,-2.033,4285.88,0.837,-1.196,79.89,197.802,82.438,metal_poor,2,moderate
3089611597989508224,124.41,0.68,222.509,19.409,0.225,4450.995,1.141,13.819,0.576,4927.88,2.657,-0.833,16.42,106.918,174.85,metal_poor,0,weak
3089512263986192512,124.071,0.501,222.503,19.025,0.497,2012.896,0.724,15.035,3.516,6048.5,4.142,-1.317,24.51,182.007,175.414,metal_poor,2,moderate
3084491481578346240,120.478,0.523,220.692,15.874,0.151,6636.821,1.314,14.112,0.002,4668.82,2.386,-0.534,142.04,207.967,36.321,metal_poor,1,weak
3084599680395408128,121.844,1.175,220.765,17.386,0.198,5042.26,1.454,12.519,-0.994,4301.99,1.43,-0.8,-3.5,233.399,174.773,metal_poor,2,moderate
3084926441506740992,120.472,1.889,219.434,16.509,0.244,4098.022,1.061,14.721,1.659,5136.8,3.046,-0.883,83.7,211.073,115.679,metal_poor,1,weak
3084565217577674368,121.57,0.938,220.848,17.033,0.099,10082.288,1.214,13.518,-1.5,4682.01,1.517,-1.679,90.96,303.912,137.838,metal_poor,4,strong
3089545558572418048,123.228,0.447,222.127,18.259,0.172,5823.723,1.101,13.353,-0.473,4891.7,1.919,-2.108,101.42,223.008,73.716,metal_poor,4,strong
3084095863550902528,120.431,0.241,220.928,15.699,0.337,2967.17,0.728,15.136,2.774,6069.42,4.005,-1.723,9.04,357.806,241.662,metal_poor,5,strong
3084867926872687616,121.261,1.702,219.991,17.119,0.511,1955.228,0.796,16.649,5.193,5777.6,4.226,-1.026,31.26,197.414,132.402,metal_poor,2,moderate
3089857819875340672,122.967,1.267,221.237,18.419,0.862,1160.311,0.766,13.987,3.664,5889.53,3.965,-1.107,188.65,178.785,31.849,metal_poor,2,moderate
3083736976083264768,122.77,0.422,221.921,17.845,0.301,3320.355,0.703,16.196,3.59,6030.38,4.224,-0.583,-1.81,242.023,180.64,metal_poor,2,moderate
3077457042404665088,124.062,0.01,222.954,18.781,0.575,1740.006,1.253,12.889,1.687,4736.57,2.649,-0.599,270.86,111.016,253.805,metal_poor,1,weak
3083483057615799424,123.485,0.151,222.53,18.343,0.682,1465.729,0.804,15.265,4.434,5807.09,4.324,-0.768,68.65,125.47,126.098,metal_poor,0,weak
3089618091979956992,124.397,0.812,222.379,19.461,1.227,815.131,0.957,12.958,3.402,5324.32,3.869,-0.569,42.07,178.447,145.515,metal_poor,1,weak
3083697290586071680,121.614,0.492,221.281,16.861,2.926,341.819,0.879,13.137,5.468,5460.91,4.468,-0.684,47.91,122.435,258.806,metal_poor,1,weak
3089944573918027648,123.955,1.687,221.34,19.488,0.603,1658.864,0.985,12.667,1.568,5249.83,3.048,-1.472,385.54,426.686,357.059,metal_poor,4,strong
3089726600033614976,124.627,1.477,221.875,19.98,1.595,627.098,0.734,12.665,3.678,5843.91,3.807,-0.796,214.26,141.127,73.031,metal_poor,0,weak
3084590884302328704,122.206,1.179,220.94,17.707,0.65,1537.717,0.696,15.04,4.106,6154.35,4.18,-1.311,303.03,178.225,161.794,metal_poor,2,moderate
3089780884124744832,123.074,1.056,221.487,18.414,0.685,1459.957,0.772,15.847,5.025,5909.2,4.09,-1.369,71.17,233.56,157.611,metal_poor,3,moderate
3089534353001157632,124.177,0.737,222.337,19.231,0.459,2179.762,1.041,12.563,0.871,5124.56,2.642,-1.539,-43.26,376.117,281.544,metal_poor,5,strong
3089847099636770560,122.508,1.28,220.996,18.022,0.637,1569.487,0.619,14.705,3.726,6255.33,4.075,-2.213,-11.29,413.706,393.357,metal_poor,5,strong
