embedding,eps,min_samples,n_clusters,noise_fraction,candidate_fraction_noise
pca,0.1,5,20,0.1969532100108814,0.06906077348066299
pca,0.1,8,11,0.30359085963003263,0.04838709677419355
pca,0.1,12,5,0.4390642002176279,0.03345724907063197
pca,0.1,16,4,0.5897714907508161,0.024907749077490774
pca,0.15,5,6,0.10065288356909684,0.13513513513513514
pca,0.15,8,5,0.15778019586507072,0.08620689655172414
pca,0.15,12,3,0.22252448313384113,0.06601466992665037
pca,0.15,16,2,0.2981501632208923,0.04927007299270073
pca,0.2,5,3,0.057127312295973884,0.22857142857142856
pca,0.2,8,2,0.0854189336235038,0.1592356687898089
pca,0.2,12,3,0.12894450489662676,0.10548523206751055
pca,0.2,16,2,0.17247007616974971,0.07886435331230283
pca,0.25,5,2,0.04461371055495103,0.2926829268292683
pca,0.25,8,2,0.05331882480957562,0.24489795918367346
pca,0.25,12,1,0.07997823721436344,0.17006802721088435
pca,0.25,16,1,0.11262241566920565,0.12077294685990338
pca,0.3,5,2,0.03536452665941241,0.36923076923076925
pca,0.3,8,2,0.041893362350380846,0.3116883116883117
pca,0.3,12,1,0.056583242655059846,0.2403846153846154
pca,0.3,16,1,0.07616974972796518,0.17857142857142858
pca,0.35,5,1,0.031556039173014146,0.41379310344827586
pca,0.35,8,1,0.036996735582154515,0.35294117647058826
pca,0.35,12,1,0.04896626768226333,0.2777777777777778
pca,0.35,16,1,0.055495103373231776,0.24509803921568626
pca,0.4,5,1,0.02665941240478781,0.4897959183673469
pca,0.4,8,1,0.03373231773667029,0.3870967741935484
pca,0.4,12,1,0.03917301414581066,0.3472222222222222
pca,0.4,16,1,0.04570184983677911,0.2976190476190476
umap,0.1,5,5,0.013601741022850925,0.04
umap,0.1,8,15,0.06800870511425462,0.016
umap,0.1,12,31,0.22633297062023938,0.004807692307692308
umap,0.1,16,27,0.5467899891186072,0.001990049751243781
umap,0.15,5,1,0.001088139281828074,0.5
umap,0.15,8,1,0.005984766050054407,0.09090909090909091
umap,0.15,12,2,0.008705114254624592,0.0625
umap,0.15,16,5,0.03373231773667029,0.016129032258064516
umap,0.2,5,1,0.001088139281828074,0.5
umap,0.2,8,1,0.001088139281828074,0.5
umap,0.2,12,1,0.001088139281828074,0.5
umap,0.2,16,1,0.003264417845484222,0.16666666666666666
umap,0.25,5,1,0.000544069640914037,0.0
umap,0.25,8,1,0.000544069640914037,0.0
umap,0.25,12,1,0.001088139281828074,0.5
umap,0.25,16,1,0.001088139281828074,0.5
umap,0.3,5,1,0.0,
umap,0.3,8,1,0.0,
umap,0.3,12,1,0.0,
umap,0.3,16,1,0.0,
umap,0.35,5,1,0.0,
umap,0.35,8,1,0.0,
umap,0.35,12,1,0.0,
umap,0.35,16,1,0.0,
umap,0.4,5,1,0.0,
umap,0.4,8,1,0.0,
umap,0.4,12,1,0.0,
umap,0.4,16,1,0.0,
